date,2023-10-01T20:00:00-07:00,,,,,,,,,,,,,,,,,,
home_score,52,,,,,,,,,,,,,,,,,,
away_score,57,,,,,,,,,,,,,,,,,,
location,"Veteran's Hall, Grass Valley CA",,,,,,,,,,,,,,,,,,
season_id,1,,,,,,,,,,,,,,,,,,
home_team,3,,,,,,,,,,,,,,,,,,
away_team,1,,,,,,,,,,,,,,,,,,
referee1,Carl,,,,,,,,,,,,,,,,,,
referee2,Other,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Brian's Grass Valley Royals,,,ID,PLAYED?,2A,2M,3A,3M,FTA,FTM,OR,DR,AST,STL,BLK,TO,F,P
home_stat,23,Brian,Fererro,3,T,5,3,2,1,1,1,0,1,1,0,0,1,4,10
home_stat,84,Jared,Brautigam,11,T,5,4,1,0,2,1,5,4,3,5,0,4,2,9
home_stat,1,Kenny,G,15,T,5,3,7,1,2,0,0,4,4,7,0,2,1,9
home_stat,12,Josh,Fisher,18,F,,,,,,,,,,,,,,0
home_stat,9,Tyler,Salcedo,19,T,4,1,1,1,0,0,0,4,0,0,0,1,3,5
home_stat,2,Jaret,Michieli,27,T,6,2,11,3,0,0,3,4,1,0,0,4,4,13
home_stat,0,Koppa,Enos,29,T,2,0,1,0,2,0,0,3,0,0,0,2,0,0
home_stat,3,Miles,Allen,33,T,1,1,2,0,0,0,2,0,0,0,0,0,2,2
home_stat,0,Joom Koppa,Enos,36,T,3,2,0,0,0,0,2,1,1,0,0,,0,4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Tule's Titans,,,ID,,2A,2M,3A,3M,FTA,FTM,OR,DR,AST,STL,BLK,TO,F,P
away_stat,7,Tule,Edwards,1,T,6,6,2,1,4,3,0,4,2,2,0,6,0,18
away_stat,4,Ben,Maselli,6,T,7,2,1,0,2,1,1,1,3,0,0,3,0,5
away_stat,18,Chris,Mahurin,9,T,4,2,1,1,2,2,0,0,2,1,1,0,0,9
away_stat,9,John,Hoyt,14,T,2,0,0,0,0,0,0,3,0,0,0,0,1,0
away_stat,33,Nick,Barry,22,T,6,3,5,1,1,0,0,3,3,2,0,3,0,9
away_stat,13,Christian,Rotunno,23,T,6,4,0,0,4,1,0,0,1,2,1,1,0,9
away_stat,52,Arend,Hall,26,T,1,0,0,0,0,0,3,5,0,0,3,0,0,0
away_stat,0,Tomas,Armijo,30,F,,,,,,,,,,,,,,0
away_stat,1,Dylan,Ramirez,31,T,5,3,0,0,2,1,0,1,2,1,0,3,2,7